Country,Upper secondary and post-secondary non-tertiary,Tertiary
Denmark,1644.0,8024
Ireland,1442.0,5692
Sweden,1741.0,4948
Netherlands,1790.0,3799
Germany,837.0,2797
Italy,257.0,2578
Luxembourg,335.0,2494
Belgium,566.0,2323
Austria,416.0,1989
Malta,809.0,1468
Finland,526.0,1117
Slovenia,1031.0,933
Spain,345.0,845
France,461.0,827
Cyprus,79.0,691
Portugal,518.0,571
Hungary,76.0,446
Poland,16.0,369
Romania,206.0,299
Latvia,427.0,253
Estonia,131.0,251
Bulgaria,372.0,233
Czechia,184.0,115
Croatia,7.0,97
Greece,,20
Norway,2391.0,8492
Switzerland,534.0,570
